Año;Periodo;Intensidad media diaria de vehículos
2015;Enero;13085
2015;Febrero;13858
2015;Marzo;15180
2015;Abril;17544
2015;Mayo;16922
2015;Junio;17868
2015;Julio;22660
2015;Agosto;25767
2015;Septiembre;17968
2015;Octubre;16743
2015;Noviembre;15030
2015;Diciembre;15700
2016;Enero;13959
2016;Febrero;14855
2016;Marzo;17717
2016;Abril;16462
2016;Mayo;17503
2016;Junio;18907
2016;Julio;24691
2016;Agosto;26511
2016;Septiembre;19320
2016;Octubre;17426
2016;Noviembre;15911
2016;Diciembre;16260
2017;Enero;14554
2017;Febrero;15641
2017;Marzo;16633
2017;Abril;20252
2017;Mayo;18262
2017;Junio;20116
2017;Julio;25129
2017;Agosto;26909
2017;Septiembre;20254
2017;Octubre;18210
2017;Noviembre;16545
2017;Diciembre;17015
2018;Enero;15423
2018;Febrero;15972
2018;Marzo;17925
2018;Abril;19074
2018;Mayo;19054
2018;Junio;20350
2018;Julio;25235
2018;Agosto;27642
2018;Septiembre;20951
2018;Octubre;19011
2018;Noviembre;17615
2018;Diciembre;17263
2019;Enero;16202
2019;Febrero;17275
2019;Marzo;18371
2019;Abril;21270
2019;Mayo;19623
2019;Junio;22022
2019;Julio;25950
2019;Agosto;28740
2019;Septiembre;21206
2019;Octubre;19423
2019;Noviembre;18214
2019;Diciembre;18338
;;
;;
"Métrica:""Intensidad media diaria de vehículos""";;
"Fuente:""Ministerio de Fomento""";;
"Clasificación:""""";;
"Unidad:""Intensidad media diaria de vehículos""";;
"Escala:""Unidades""";;
"EscalaFactorPotencia10:""0""";;
"SonDatosNumericos:""True""";;
;;
;;
"Url:""https://www.epdata.es/evolucion/1997e29e-f329-4b52-bdec-f2a7eb089319""";;
"Titulo:""Evolución del tráfico medio en las autopistas estatales de peaje en España""";;
"Subtitulo:""""";;
